codigo_receita;orgao;uniorcam;receita_orcada;receita_realizada;recurso_vinculado;especificacao_receita;tipo_nivel;numero_nivel;caracteristica_peculiar_receita;previsao_atualizada;complemento_recurso_vinculado;data_inicial;data_final;data_geracao;cnpj;entidade;arquivo
4.1.0.0.0.00.0.0.00.00.00.00.000;02;0201;30.290.760,97;40.274.599,23;0000;"RECEITAS CORRENTES";S;01;000;37.394.795,96;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.0.0.00.0.0.00.00.00.00.000;02;0201;2.834.346,44;3.168.061,32;0000;"IMPOSTOS, TAXAS E CONTRIBUICOES DE MELHORIA";S;02;000;3.053.536,44;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.0.00.0.0.00.00.00.00.000;02;0201;2.760.860,64;3.066.548,63;0000;IMPOSTOS;S;03;000;2.980.050,64;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.3.00.0.0.00.00.00.00.000;02;0201;692.437,79;677.063,33;0000;"IMPOSTOS SOBRE A RENDA E PROVENTOS DE QUALQUER NATUREZA";S;04;000;722.437,79;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.3.03.0.0.00.00.00.00.000;02;0201;692.437,79;677.063,33;0000;"IMPOSTO SOBRE A RENDA - RETIDO NA FONTE";S;05;000;722.437,79;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.3.03.1.0.00.00.00.00.000;02;0201;692.437,79;675.812,60;0000;"IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - TRABALHO";S;06;000;722.437,79;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.3.03.1.1.00.00.00.00.000;02;0201;692.437,79;675.812,60;0000;"IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - TRABALHO - PRINCIPAL";S;06;000;722.437,79;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.3.03.1.1.01.00.00.00.000;02;0201;557.562,88;471.910,25;0000;"IRRF SOBRE RENDIMENTOS DO  TRABALHO - PRINCIPAL  - ATIVOS/INATIVOS DO PODER EXECUTIVO/INDIRETAS";S;07;000;557.562,88;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.3.03.1.1.01.01.00.00.000;02;0201;334.537,73;283.146,13;0001;"IRRF SOBRE RENDIMENTOS DO  TRABALHO - PRINCIPAL  - ATIVOS/INATIVOS DO PODER EXECUTIVO/INDIRETAS - PROPRIO";A;08;000;334.537,73;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.3.03.1.1.01.02.00.00.000;02;0201;139.390,72;117.977,57;0020;"IRRF SOBRE RENDIMENTOS DO  TRABALHO - PRINCIPAL  - ATIVOS/INATIVOS DO PODER EXECUTIVO/INDIRETAS - MDE";A;08;000;139.390,72;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
