codigo_receita;orgao;uniorcam;receita_orcada;receita_realizada;recurso_vinculado;especificacao_receita;tipo_nivel;numero_nivel;caracteristica_peculiar_receita;previsao_atualizada;complemento_recurso_vinculado;fonte_recurso_stn;acompanhamento_execucao_orcamentaria;data_inicial;data_final;data_geracao;cnpj;entidade;arquivo
4.1.0.0.0.00.0.0.00.00.00.00.000;02;0201;31.976.083,11;33.906.048,64;0000;"RECEITAS CORRENTES";S;01;000;33.870.148,99;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.0.0.00.0.0.00.00.00.00.000;02;0201;3.035.965,05;2.601.018,98;0000;"IMPOSTOS, TAXAS E CONTRIBUICOES DE MELHORIA";S;02;000;3.035.965,05;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.0.00.0.0.00.00.00.00.000;02;0201;2.971.775,79;2.513.521,48;0000;IMPOSTOS;S;03;000;2.971.775,79;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.3.00.0.0.00.00.00.00.000;02;0201;697.176,77;726.638,34;0000;"IMPOSTOS SOBRE A RENDA E PROVENTOS DE QUALQUER NATUREZA";S;04;000;697.176,77;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.3.03.0.0.00.00.00.00.000;02;0201;697.176,77;726.638,34;0000;"IMPOSTO SOBRE A RENDA - RETIDO NA FONTE";S;05;000;697.176,77;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.3.03.1.0.00.00.00.00.000;02;0201;697.176,77;726.638,34;0000;"IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - TRABALHO";S;06;000;697.176,77;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.3.03.1.1.00.00.00.00.000;02;0201;697.176,77;726.638,34;0000;"IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - TRABALHO - PRINCIPAL";S;06;000;697.176,77;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.3.03.1.1.01.00.00.00.000;02;0201;593.589,45;544.653,52;0000;"IRRF SOBRE RENDIMENTOS DO  TRABALHO - PRINCIPAL  - ATIVOS/INATIVOS DO PODER EXECUTIVO/INDIRETAS";S;07;000;593.589,45;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.3.03.1.1.01.01.00.00.000;02;0201;356.153,67;326.792,09;0001;"IRRF SOBRE RENDIMENTOS DO  TRABALHO - PRINCIPAL  - ATIVOS/INATIVOS DO PODER EXECUTIVO/INDIRETAS - PROPRIO";A;08;000;356.153,67;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
4.1.1.1.3.03.1.1.01.02.00.00.000;02;0201;148.397,36;136.163,40;0020;"IRRF SOBRE RENDIMENTOS DO  TRABALHO - PRINCIPAL  - ATIVOS/INATIVOS DO PODER EXECUTIVO/INDIRETAS - MDE";A;08;000;148.397,36;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:\Users\Everton\Documents\pad-converter_tmp\input\BAL_REC.TXT"
